Length	Type
47.12	"BIHAI"
46.75	"BIHAI"
46.81	"BIHAI"
47.12	"BIHAI"
46.67	"BIHAI"
47.43	"BIHAI"
46.44	"BIHAI"
46.64	"BIHAI"
48.07	"BIHAI"
48.34	"BIHAI"
48.15	"BIHAI"
50.26	"BIHAI"
50.12	"BIHAI"
46.34	"BIHAI"
46.94	"BIHAI"
48.36	"BIHAI"
41.90	"RED"
42.01	"RED"
41.93	"RED"
43.09	"RED"
41.47	"RED"
41.69	"RED"
39.78	"RED"
40.57	"RED"
39.63	"RED"
42.18	"RED"
40.66	"RED"
37.87	"RED"
39.16	"RED"
37.40	"RED"
38.20	"RED"
38.07	"RED"
38.10	"RED"
37.97	"RED"
38.79	"RED"
38.23	"RED"
38.87	"RED"
37.78	"RED"
38.01	"RED"
36.78	"YELLOW"
37.02	"YELLOW"
36.52	"YELLOW"
34.57	"YELLOW"
36.11	"YELLOW"
34.63	"YELLOW"
36.03	"YELLOW"
36.03	"YELLOW"
35.68	"YELLOW"
35.45	"YELLOW"
36.66	"YELLOW"
38.13	"YELLOW"
37.10	"YELLOW"
36.82	"YELLOW"
35.17	"YELLOW"
