"title"	"link"
"1"	"index"	"https://datascience4psych.github.io/slides/index.html"
"2"	"setup"	"https://datascience4psych.github.io/slides/setup.html"
"3"	"u1_d01-welcome/u1_d01-welcome"	"https://datascience4psych.github.io/slides/u1_d01-welcome/u1_d01-welcome.html"
"4"	"u1_d02-meet-the-toolkit/u1_d02-meet-the-toolkit"	"https://datascience4psych.github.io/slides/u1_d02-meet-the-toolkit/u1_d02-meet-the-toolkit.html"
"5"	"u1_d03-data-viz-1/u1_d03-data-viz-1"	"https://datascience4psych.github.io/slides/u1_d03-data-viz-1/u1_d03-data-viz-1.html"
"6"	"u1_d04-data-viz-2/u1_d04-data-viz-2"	"https://datascience4psych.github.io/slides/u1_d04-data-viz-2/u1_d04-data-viz-2.html"
"7"	"u1_d05-data-wrangle/u1_d05-data-wrangle"	"https://datascience4psych.github.io/slides/u1_d05-data-wrangle/u1_d05-data-wrangle.html"
"8"	"u1_d06-data-join/u1_d06-data-join"	"https://datascience4psych.github.io/slides/u1_d06-data-join/u1_d06-data-join.html"
"9"	"u1_d07-tidy-data/u1_d07-tidy-data"	"https://datascience4psych.github.io/slides/u1_d07-tidy-data/u1_d07-tidy-data.html"
"10"	"u1_d08-data-types/u1_d08-data-types"	"https://datascience4psych.github.io/slides/u1_d08-data-types/u1_d08-data-types.html"
"11"	"u1_d09-import-data/u1_d09-import-data"	"https://datascience4psych.github.io/slides/u1_d09-import-data/u1_d09-import-data.html"
"12"	"u1_d10-effective-dataviz/u1_d10-effective-dataviz"	"https://datascience4psych.github.io/slides/u1_d10-effective-dataviz/u1_d10-effective-dataviz.html"
"13"	"u1_d11-studies-confounding/u1_d11-studies-confounding"	"https://datascience4psych.github.io/slides/u1_d11-studies-confounding/u1_d11-studies-confounding.html"
"14"	"u1_d12-effective-communication/u1_d12-effective-communication"	"https://datascience4psych.github.io/slides/u1_d12-effective-communication/u1_d12-effective-communication.html"
"15"	"u1_d13-webscraping/u1_d13-webscraping"	"https://datascience4psych.github.io/slides/u1_d13-webscraping/u1_d13-webscraping.html"
"16"	"u1_d14-functions-iteration/u1_d14-functions-iteration"	"https://datascience4psych.github.io/slides/u1_d14-functions-iteration/u1_d14-functions-iteration.html"
"17"	"u2_d01-language-of-models/u2_d01-language-of-models"	"https://datascience4psych.github.io/slides/u2_d01-language-of-models/u2_d01-language-of-models.html"
"18"	"u2_d02-linear-model-single-predictor/u2_d02-linear-model-single-predictor"	"https://datascience4psych.github.io/slides/u2_d02-linear-model-single-predictor/u2_d02-linear-model-single-predictor.html"
"19"	"u2_d03-modeling-non-linear-relationships/u2_d03-modeling-non-linear-relationships"	"https://datascience4psych.github.io/slides/u2_d03-modeling-non-linear-relationships/u2_d03-modeling-non-linear-relationships.html"
"20"	"u2_d04-linear-model-multiple-predictors/u2_d04-linear-model-multiple-predictors"	"https://datascience4psych.github.io/slides/u2_d04-linear-model-multiple-predictors/u2_d04-linear-model-multiple-predictors.html"
"21"	"u2_d04-linear-model-multiple-predictors/u2_d04-linear-model-multiple-predictors_files/figure-html/widgets/widget_plotly"	"https://datascience4psych.github.io/slides/u2_d04-linear-model-multiple-predictors/u2_d04-linear-model-multiple-predictors_files/figure-html/widgets/widget_plotly.html"
"22"	"u2_d05-model-selection/u2_d05-model-selection"	"https://datascience4psych.github.io/slides/u2_d05-model-selection/u2_d05-model-selection.html"
"23"	"u2_d06-model-validation/u2_d06-model-validation"	"https://datascience4psych.github.io/slides/u2_d06-model-validation/u2_d06-model-validation.html"
"24"	"u2_d07-logistic-regression/u2_d07-logistic-regression"	"https://datascience4psych.github.io/slides/u2_d07-logistic-regression/u2_d07-logistic-regression.html"
"25"	"u2_d08-quantifying-uncertainty/u2_d08-quantifying-uncertainty"	"https://datascience4psych.github.io/slides/u2_d08-quantifying-uncertainty/u2_d08-quantifying-uncertainty.html"
"26"	"u2_d09-hypothesis-testing/u2_d09-hypothesis-testing"	"https://datascience4psych.github.io/slides/u2_d09-hypothesis-testing/u2_d09-hypothesis-testing.html"
"27"	"u2_d10-inference-overview/u2_d10-inference-overview"	"https://datascience4psych.github.io/slides/u2_d10-inference-overview/u2_d10-inference-overview.html"
"28"	"u2_d11-sim-inf-review/u2_d11-sim-inf-review"	"https://datascience4psych.github.io/slides/u2_d11-sim-inf-review/u2_d11-sim-inf-review.html"
"29"	"u3_d01-ethics/u3_d01-ethics"	"https://datascience4psych.github.io/slides/u3_d01-ethics/u3_d01-ethics.html"
"30"	"u3_d04-bayes-inf/u3_d04-bayes-inf"	"https://datascience4psych.github.io/slides/u3_d04-bayes-inf/u3_d04-bayes-inf.html"
"31"	"u3_d05-text-analysis/u3_d05-text-analysis"	"https://datascience4psych.github.io/slides/u3_d05-text-analysis/u3_d05-text-analysis.html"
